ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
3.0,-1610.0,,,,,,4.0,6.0,,,GREECE,,THERA ISLAND (SANTORINI),36.4,25.4,50.0,90.0,,,6.0,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,
53.0,684.0,11.0,29.0,,,,4.0,1.0,,8.4,JAPAN,,NANKAIDO,32.5,134.0,85.0,3.0,,1.6,1.0,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,
79.0,922.0,,,,,,4.0,1.0,,7.0,JAPAN,,KUMANONADA,33.8,136.7,85.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,1026.0,6.0,16.0,,,,3.0,1.0,,7.5,JAPAN,,"OFF MASUDA, SHIMANE PREFECTURE",34.8,131.8,85.0,10.0,,3.3,3.0,,1001.0,4.0,,,,,,4.0,3000.0,4.0,,,1001.0,4.0,,,,,,3.0,3000.0,4.0,,
96.0,1096.0,12.0,17.0,,,,4.0,1.0,,8.4,JAPAN,,ENSHUNADA,34.0,137.5,85.0,7.0,,2.5,2.0,,,,,,,,,2.0,400.0,2.0,,,,,,,,,,2.0,400.0,3.0,,
3116.0,1365.0,1.0,2.0,,,,3.0,1.0,,,ALGERIA,,ALGIERS,36.8,3.0,50.0,5.0,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,3.0,,3.0,,
128.0,1403.0,12.0,,,,,4.0,1.0,,7.0,JAPAN,,KUMANONADA,33.7,136.5,85.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
131.0,1408.0,1.0,21.0,,,,4.0,1.0,,7.0,JAPAN,,KUMANONADA,33.8,136.9,85.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
133.0,1433.0,11.0,7.0,,,,4.0,1.0,,7.1,JAPAN,,OFF IZU-OSHIMA,34.9,139.5,85.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,
137.0,1481.0,5.0,3.0,,,,2.0,1.0,,7.1,GREECE,,ISLAND OF RHODES,36.0,28.0,50.0,3.0,,,3.0,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,
142.0,1495.0,9.0,12.0,,,,4.0,1.0,,7.1,JAPAN,,"KAMAKURA, SAGAMI BAY, TOKAIDO",35.1,139.5,85.0,5.0,,2.0,2.0,,200.0,3.0,,,,,,,,,,,200.0,3.0,,,,,,1.0,,1.0,,
146.0,1498.0,9.0,20.0,,,,4.0,1.0,,8.3,JAPAN,,ENSHUNADA SEA,34.0,138.1,85.0,10.0,,3.0,4.0,,5000.0,4.0,,,,,,4.0,1000.0,4.0,,,5000.0,4.0,,,,,,3.0,1000.0,3.0,,
154.0,1510.0,9.0,21.0,,,,4.0,1.0,,6.7,JAPAN,,OSAKA BAY,34.6,135.4,85.0,2.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
160.0,1520.0,4.0,4.0,,,,4.0,1.0,,7.0,JAPAN,,"KII, KUMANANONADA",33.6,136.3,85.0,2.0,,1.0,1.0,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,2.0,,
163.0,1530.0,9.0,1.0,14.0,30.0,,4.0,1.0,,,VENEZUELA,,CUMANA,10.7,-64.1,74.0,7.3,,2.6,,,,,,,,,,2.0,,3.0,,,,,,,,,,2.0,,3.0,,
5680.0,1584.0,3.0,11.0,10.0,30.0,,2.0,3.0,,5.9,SWITZERLAND,,SWITZERLAND,46.33,6.97,73.0,18.0,,,,,,,,,,,,3.0,,1.0,,,100.0,2.0,,,,,,3.0,,2.0,,2.0
194.0,1586.0,7.0,10.0,0.0,30.0,,4.0,1.0,60.0,8.5,PERU,,CENTRAL PERU,-12.3,-77.7,89.0,26.0,,4.6,3.5,,,,,,,,,3.0,,,,,22.0,1.0,,,,,,3.0,,3.0,,
203.0,1596.0,9.0,4.0,,,,4.0,3.0,,6.9,JAPAN,,"BEPPU BAY, KYUSHU",33.3,131.7,85.0,5.0,,2.0,2.0,,708.0,3.0,,,,,,1.0,80.0,1.0,,,708.0,3.0,,,,,,3.0,80.0,2.0,,
212.0,1604.0,11.0,24.0,18.0,30.0,,4.0,1.0,30.0,8.5,PERU,,S. PERU,-17.88,-70.94,89.0,5.0,,4.0,3.5,,74.0,2.0,,,,,,3.0,,3.0,,,174.0,3.0,,,,,,3.0,,3.0,,
216.0,1605.0,2.0,3.0,,,,4.0,1.0,,7.9,JAPAN,,NANKAIDO,33.0,134.9,85.0,10.0,,3.0,3.0,,5000.0,4.0,,,,,,3.0,700.0,3.0,,,5000.0,4.0,,,,,,3.0,700.0,3.0,,
226.0,1611.0,12.0,2.0,,,,4.0,1.0,,8.1,JAPAN,,SANRIKU,39.0,144.5,85.0,25.0,,3.5,4.0,,5000.0,4.0,,,,,,3.0,,,,,5000.0,4.0,,,,,,3.0,,,,
2289.0,1615.0,6.0,5.0,,,,4.0,1.0,,5.7,UKRAINE,,BLACK SEA,44.9,35.5,40.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
230.0,1615.0,9.0,16.0,,,,2.0,1.0,,7.5,CHILE,,NORTHERN CHILE,-18.5,-70.35,89.0,4.0,,2.0,1.5,,,,,,,,,,,,,,,,,,,,,2.0,,,,
243.0,1629.0,8.0,1.0,,,,3.0,1.0,,,INDONESIA,,BANDA SEA,-4.6,129.9,83.0,16.0,,4.0,3.0,,,,,,,,,2.0,,2.0,,,,,,,,,,2.0,,2.0,,
3549.0,1634.0,3.0,,,,,0.0,1.0,,5.5,CHINA,,HUBEI PROVINCE,30.7,115.1,84.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
